"ref.date","yield.bid","price.bid","asset.code","matur.date"
2008-12-29,0.1246,1018.88,"NTN-F 010710",2010-07-01
2008-12-30,0.1245,971.15,"NTN-F 010710",2010-07-01
2008-12-31,0.1228,973.22,"NTN-F 010710",2010-07-01
2009-01-02,0.1228,973.67,"NTN-F 010710",2010-07-01
2009-01-05,0.1225,974.48,"NTN-F 010710",2010-07-01
2009-01-06,0.1215,976.15,"NTN-F 010710",2010-07-01
2009-01-07,0.1205,977.81,"NTN-F 010710",2010-07-01
2009-01-08,0.1215,977.04,"NTN-F 010710",2010-07-01
2009-01-09,0.1195,979.9,"NTN-F 010710",2010-07-01
2009-01-12,0.1164,984.11,"NTN-F 010710",2010-07-01
2009-01-13,0.1164,984.54,"NTN-F 010710",2010-07-01
2009-01-14,0.1151,986.55,"NTN-F 010710",2010-07-01
2009-01-15,0.1165,985.28,"NTN-F 010710",2010-07-01
2009-01-16,0.1146,988.01,"NTN-F 010710",2010-07-01
2009-01-19,0.115,987.95,"NTN-F 010710",2010-07-01
2009-01-20,0.1138,989.83,"NTN-F 010710",2010-07-01
2009-01-21,0.113,991.22,"NTN-F 010710",2010-07-01
2009-01-22,0.1115,993.45,"NTN-F 010710",2010-07-01
2009-01-23,0.1115,993.86,"NTN-F 010710",2010-07-01
2009-01-26,0.1139,991.4,"NTN-F 010710",2010-07-01
2009-01-27,0.1157,989.68,"NTN-F 010710",2010-07-01
2009-01-28,0.1139,992.25,"NTN-F 010710",2010-07-01
2009-01-29,0.1135,993.15,"NTN-F 010710",2010-07-01
2009-01-30,0.1149,991.92,"NTN-F 010710",2010-07-01
2009-02-02,0.1139,993.53,"NTN-F 010710",2010-07-01
2009-02-03,0.1129,995.13,"NTN-F 010710",2010-07-01
2009-02-04,0.1118,996.85,"NTN-F 010710",2010-07-01
2009-02-05,0.1127,996.21,"NTN-F 010710",2010-07-01
2009-02-06,0.1131,996.17,"NTN-F 010710",2010-07-01
2009-02-09,0.1122,997.64,"NTN-F 010710",2010-07-01
2009-02-10,0.1135,996.55,"NTN-F 010710",2010-07-01
2009-02-11,0.1138,996.62,"NTN-F 010710",2010-07-01
2009-02-12,0.1136,997.28,"NTN-F 010710",2010-07-01
2009-02-13,0.1143,996.9,"NTN-F 010710",2010-07-01
2009-02-16,0.113,998.83,"NTN-F 010710",2010-07-01
2009-02-17,0.1128,999.48,"NTN-F 010710",2010-07-01
